trial_id,accuracy,loss,train_accuracy,model_type,hidden_size,num_layers,dropout,lr,batch_size,num_classes,image_size,transfer_custom_layers,augment,resize_size,crop_size,epochs,print_every
6db4c_00003,96.07843137254902,0.19631289187818765,88.52459016393442,transfer,32,3,0.282804487580727,0.0002271876591531195,8,2,224,1,True,256,224,5,10
6db4c_00001,95.42483660130719,0.28003955899904936,79.50819672131148,transfer,32,3,0.23472558227748422,0.00010411356085364865,4,2,224,1,True,256,224,5,10
6db4c_00012,95.42483660130719,0.19465730893306243,79.91803278688525,transfer,64,2,0.22904388207905252,0.000262879593685876,4,2,224,2,True,256,224,5,10
6db4c_00000,94.77124183006536,0.18950865981169046,84.42622950819673,transfer,256,1,0.28194444816941844,0.00044996214983297045,8,2,224,2,True,256,224,5,10
6db4c_00002,94.77124183006536,0.205069537833333,88.52459016393442,transfer,64,2,0.23891179085288508,0.00026082597361467864,8,2,224,1,True,256,224,5,10
6db4c_00018,94.77124183006536,0.25933930575847625,88.52459016393442,transfer,256,2,0.48882235559540355,0.00033028298241287625,16,2,224,1,True,256,224,5,10
6db4c_00013,94.77124183006536,0.22668612958529058,76.63934426229508,transfer,32,2,0.45459412843578645,0.0003853354671317546,4,2,224,1,True,256,224,5,10
6db4c_00014,94.77124183006536,0.20086641907691954,84.01639344262296,transfer,128,1,0.35378393399906505,0.00042026555574906907,8,2,224,2,True,256,224,5,10
6db4c_00004,94.11764705882354,0.2242988095833705,73.77049180327869,transfer,256,2,0.20818054049188978,0.0002848927010718968,4,2,224,2,True,256,224,5,10
6db4c_00005,94.11764705882354,0.23952621832872048,81.55737704918033,transfer,256,1,0.3726217700113649,0.00019478017202025064,4,2,224,1,True,256,224,5,10
6db4c_00006,94.11764705882354,0.23290845761314416,79.09836065573771,transfer,256,1,0.44085170010440267,0.0004716500496176686,4,2,224,1,True,256,224,5,10
6db4c_00011,94.11764705882354,0.16705981569830328,86.88524590163935,transfer,128,1,0.2523328016122117,0.00047612754415294066,8,2,224,2,True,256,224,5,10
6db4c_00019,93.4640522875817,0.2212793964892626,87.29508196721312,transfer,256,3,0.3606618531371638,0.0006543234346499141,16,2,224,1,True,256,224,5,10
6db4c_00010,93.4640522875817,0.35692872405052184,88.11475409836065,transfer,128,1,0.22689799851658804,0.00016585868977511144,16,2,224,2,True,256,224,5,10
6db4c_00009,92.81045751633987,0.3237633489072323,82.78688524590164,transfer,128,1,0.44320649199747764,0.00010506175718740258,8,2,224,1,True,256,224,5,10
6db4c_00008,91.50326797385621,0.31485993340611457,84.8360655737705,transfer,32,1,0.22233750452257434,0.00012648323116921462,8,2,224,1,True,256,224,5,10
6db4c_00015,90.19607843137256,0.23747240135876033,80.73770491803279,transfer,32,1,0.4089871217312946,0.0004482017703114035,4,2,224,1,True,256,224,5,10
6db4c_00016,89.54248366013071,0.2576595962047577,88.52459016393442,transfer,128,2,0.3809154060225794,0.00025495033645814513,8,2,224,1,True,256,224,5,10
6db4c_00017,87.58169934640523,0.3075483631342649,80.32786885245902,transfer,32,1,0.3308494361176172,0.00017554788066738122,8,2,224,2,True,256,224,5,10
6db4c_00007,83.66013071895425,0.40557735674083234,85.65573770491804,transfer,32,3,0.2893744079087636,0.0008428523058640806,16,2,224,1,True,256,224,5,10
